portal,connects,datasets
opendata.comune.bari.it,TRUE,33
africaopendata.org,TRUE,932
www.amsterdamopendata.nl/home,FALSE,NA
opendata.aragon.es,TRUE,450
daten.berlin.de,FALSE,NA
data.buenosaires.gob.ar,TRUE,68
ie.ckan.net,TRUE,273
it.ckan.net,TRUE,263
rs.ckan.net,TRUE,167
br.ckan.net,TRUE,36
datos.codeandomexico.org,TRUE,26
cz.ckan.net,TRUE,200
dados.gov.br,TRUE,112
dadosabertos.senado.gov.br,TRUE,37
dados.novohamburgo.rs.gov.br,FALSE,NA
data.gv.at,FALSE,NA
data.linz.gv.at,FALSE,NA
fi.thedatahub.org,FALSE,NA
data.norge.no,FALSE,NA
data.sa.gov.au,TRUE,230
www.data.gc.ca,FALSE,NA
data.gov.sk,TRUE,204
data.gov.uk/data,FALSE,NA
data.qld.gov.au,TRUE,439
data.openpolice.ru,TRUE,75
datacatalogs.org,TRUE,361
www.datagm.org.uk,TRUE,295
datagov.ru,FALSE,NA
datakilder.no,FALSE,NA
datospublicos.org,FALSE,NA
data.denvergov.org,FALSE,NA
ckan.emap.fgv.br,FALSE,NA
open-data.europa.eu,FALSE,NA
www.healthdata.gov,FALSE,NA
www.hri.fi,FALSE,NA
data.graz.gv.at,FALSE,NA
daten.hamburg.de,FALSE,NA
data.codeforhouston.com,FALSE,NA
iatiregistry.org,TRUE,3000
data.klp.org.in,TRUE,4
thedatahub.kr,TRUE,3922
www.nosdonnees.fr,TRUE,188
offenedaten.de,TRUE,1372
data.opencolorado.org,TRUE,770
catalog.opendata.in.th,FALSE,NA
www.opendatahub.it,FALSE,NA
dati.trentino.it,TRUE,559
data.openva.com,TRUE,26
www.opendata-hro.de,TRUE,102
opengov.es,FALSE,NA
data.ottawa.ca,TRUE,82
data.overheid.nl,FALSE,NA
www.opendata.provincia.roma.it,TRUE,49
publicdata.eu,TRUE,24740
www.daten.rlp.de,TRUE,1840
www.rotterdamopendata.nl,FALSE,NA
data.cityofsantacruz.com,TRUE,52
thedatahub.org,TRUE,16967
dati.toscana.it,TRUE,20
